angle,reflectance
0,0.9110145
2.5625422,0.91101444
3.624284,0.9110143
4.439238,0.9110142
5.1264052,0.9110139
5.731965,0.9110136
6.2795715,0.9110131
6.783303,0.91101265
7.252254,0.9110122
7.692814,0.9110116
8.109611,0.91101074
8.506139,0.91101
8.885134,0.91100913
9.248709,0.91100824
9.598639,0.91100734
9.936362,0.91100615
10.263087,0.9110049
10.57985,0.91100377
10.887485,0.91100246
11.186762,0.91100097
11.478335,0.91099954
11.7627945,0.9109981
12.040612,0.91099644
12.312252,0.91099477
12.578116,0.9109929
12.838562,0.9109911
13.093929,0.91098917
13.34448,0.91098714
13.590494,0.910985
13.832213,0.91098285
14.069861,0.91098064
14.303654,0.9109783
14.533748,0.9109758
14.760333,0.9109734
14.983567,0.91097075
15.20361,0.9109683
15.420574,0.91096544
15.634599,0.91096264
15.845805,0.9109596
16.054304,0.91095674
16.26021,0.91095376
16.463598,0.91095054
16.66457,0.91094744
16.863216,0.910944
17.059628,0.91094065
17.253857,0.9109372
17.44599,0.9109336
17.636091,0.91093
17.824232,0.91092634
18.01048,0.9109225
18.194874,0.91091865
18.377481,0.91091466
18.558352,0.9109106
18.737537,0.9109065
18.915096,0.91090226
19.091053,0.910898
19.265465,0.91089356
19.438366,0.9108891
19.609818,0.91088456
19.779825,0.9108799
19.948444,0.9108752
20.115707,0.9108703
20.281647,0.9108655
20.446304,0.91086054
20.609695,0.91085535
20.771856,0.91085017
20.932814,0.9108449
21.0926,0.9108396
21.251247,0.91083413
21.408764,0.9108287
21.565184,0.91082317
21.720531,0.9108174
21.874838,0.91081154
22.028107,0.9108057
22.180367,0.91079974
22.331644,0.9107938
22.481955,0.9107875
22.631325,0.91078126
22.77976,0.91077507
22.927284,0.9107686
23.073915,0.9107622
23.219673,0.9107555
23.364578,0.91074884
23.508633,0.91074204
23.651857,0.91073525
23.794271,0.91072834
23.935892,0.91072124
24.076725,0.91071403
24.216784,0.9107069
24.356087,0.9106995
24.494644,0.91069204
24.63248,0.9106846
24.769587,0.91067696
24.905989,0.9106692
25.041693,0.91066146
25.176722,0.9106535
25.311068,0.9106456
25.444752,0.9106374
25.577784,0.9106293
25.71017,0.9106209
25.841936,0.9106125
25.97307,0.9106041
26.103592,0.91059554
26.23351,0.9105868
26.36283,0.910578
26.491573,0.9105692
26.61973,0.9105604
26.747318,0.9105513
26.874346,0.910542
27.000828,0.91053283
27.126757,0.91052353
27.252146,0.9105141
27.377005,0.91050446
27.501343,0.9104948
27.625168,0.91048497
