phi theta ratio
2.50   1.00  1.000000
2.50   3.00  1.000000
2.50   5.00  1.000000
2.50   7.00  1.000000
2.50   9.00  1.000000
2.50   11.00 1.000000
2.50   13.00 0.999984
2.50   15.00 0.999960
2.50   17.00 0.999968
2.50   19.00 0.999951
2.50   21.00 0.999884
2.50   23.00 0.999858
2.50   25.00 0.999787
2.50   27.00 0.999697
2.50   29.00 0.999630
2.50   31.00 0.999488
2.50   33.00 0.999449
2.50   35.00 0.999239
2.50   37.00 0.999017
2.50   39.00 0.998733
2.50   41.00 0.998635
2.50   43.00 0.998203
2.50   45.00 0.998119
2.50   47.00 0.997445
2.50   49.00 0.996843
2.50   51.00 0.996079
2.50   53.00 0.994799
2.50   55.00 0.994147
2.50   57.00 0.992742
2.50   59.00 0.991257
2.50   61.00 0.988806
2.50   63.00 0.985432
2.50   65.00 0.980806
2.50   67.00 0.975554
2.50   69.00 0.968913
2.50   71.00 0.957684
2.50   73.00 0.944354
2.50   75.00 0.924736
2.50   77.00 0.896507
2.50   79.00 0.856694
2.50   81.00 0.802118
2.50   83.00 0.725019
2.50   85.00 0.608801
2.50   87.00 0.447414
2.50   89.00 0.225749
7.50   1.00  1.000000
7.50   3.00  1.000000
7.50   5.00  1.000000
7.50   7.00  1.000000
7.50   9.00  1.000000
7.50   11.00 0.999992
7.50   13.00 0.999992
7.50   15.00 0.999960
7.50   17.00 0.999960
7.50   19.00 0.999894
7.50   21.00 0.999835
7.50   23.00 0.999782
7.50   25.00 0.999660
7.50   27.00 0.999645
7.50   29.00 0.999454
7.50   31.00 0.999461
7.50   33.00 0.999330
7.50   35.00 0.999239
7.50   37.00 0.998911
7.50   39.00 0.998802
7.50   41.00 0.998573
7.50   43.00 0.998213
7.50   45.00 0.997859
7.50   47.00 0.997197
7.50   49.00 0.996225
7.50   51.00 0.995896
7.50   53.00 0.994937
7.50   55.00 0.993790
7.50   57.00 0.992336
7.50   59.00 0.990861
7.50   61.00 0.987819
7.50   63.00 0.984130
7.50   65.00 0.980023
7.50   67.00 0.975818
7.50   69.00 0.967771
7.50   71.00 0.957129
7.50   73.00 0.942880
7.50   75.00 0.926008
7.50   77.00 0.894092
7.50   79.00 0.857353
7.50   81.00 0.800209
7.50   83.00 0.721623
7.50   85.00 0.605742
7.50   87.00 0.440746
7.50   89.00 0.223802
12.50  1.00  1.000000
12.50  3.00  1.000000
12.50  5.00  1.000000
12.50  7.00  1.000000
12.50  9.00  1.000000
12.50  11.00 0.999992
12.50  13.00 0.999992
12.50  15.00 0.999976
12.50  17.00 0.999911
12.50  19.00 0.999886
12.50  21.00 0.999893
12.50  23.00 0.999841
12.50  25.00 0.999702
12.50  27.00 0.999594
12.50  29.00 0.999551
12.50  31.00 0.999479
12.50  33.00 0.999422
12.50  35.00 0.998966
12.50  37.00 0.998921
12.50  39.00 0.998713
12.50  41.00 0.998349
12.50  43.00 0.998014
12.50  45.00 0.997697
12.50  47.00 0.996984
12.50  49.00 0.996865
12.50  51.00 0.995157
12.50  53.00 0.994697
12.50  55.00 0.993285
12.50  57.00 0.991612
12.50  59.00 0.990026
12.50  61.00 0.987692
12.50  63.00 0.983176
12.50  65.00 0.980523
12.50  67.00 0.974223
12.50  69.00 0.965811
12.50  71.00 0.956562
12.50  73.00 0.941506
12.50  75.00 0.920383
12.50  77.00 0.894317
12.50  79.00 0.852425
12.50  81.00 0.799280
12.50  83.00 0.713772
12.50  85.00 0.606652
12.50  87.00 0.442118
12.50  89.00 0.222980
17.50  1.00  1.000000
17.50  3.00  1.000000
17.50  5.00  1.000000
17.50  7.00  1.000000
17.50  9.00  1.000000
17.50  11.00 0.999976
17.50  13.00 0.999960
17.50  15.00 0.999968
17.50  17.00 0.999927
17.50  19.00 0.999910
17.50  21.00 0.999802
17.50  23.00 0.999824
17.50  25.00 0.999770
17.50  27.00 0.999628
17.50  29.00 0.999498
17.50  31.00 0.999362
17.50  33.00 0.999284
17.50  35.00 0.998994
17.50  37.00 0.998998
17.50  39.00 0.998792
17.50  41.00 0.998400
17.50  43.00 0.997741
17.50  45.00 0.997296
17.50  47.00 0.996736
